FOLDERRSN,PROPERTYID
12077118,5095201
12077612,2046935
12078647,5283147
12078647,5330554
12079379,5470740
12079379,5470797
12079780,2019354
12079856,5283147
12079856,5330553
12080565,5312656
12080565,5313056
12080738,5283147
12080738,5330559
12080821,5363339
12080821,5363590
12081068,5283147
12081068,5330558
12081074,5312656
12081074,5313061
12081230,5330437
12081230,5330561
12081300,5283147
12081300,5330548
12081409,5312656
12081409,5313052
12081457,5312656
12081457,5313060
12081526,5330437
12081526,5330560
12081871,5312656
12081871,5313064
12082003,830918
12082003,2025480
12083358,5283147
12083358,5330550
12083544,5283147
12083544,5330549
12083787,280022
12083787,2011409
12085199,5312656
12085199,5313055
12085233,5312656
12085233,5313063
12085346,5330482
12085346,5330528
12086359,5426783
12086359,5426953
12086386,5312658
12086386,5313074
12086700,389938
12086700,2033261
12086706,5312760
12086706,5313120
12086734,5312658
12086734,5313069
12086799,5363350
12086799,5363677
12086843,5363350
12086843,5363676
12086858,5363350
12086858,5363675
12087440,5340882
12087440,5341033
12087510,5340905
12087510,5340978
12087518,5340905
12087518,5340976
12087652,5340902
12087652,5340960
12088020,5102390
12088020,5102463
12088112,5330437
12088112,5330567
12088444,5340902
12088444,5340959
12088536,5312760
12088536,5313124
12088744,5312760
12088744,5313130
12089055,5312760
12089055,5313128
12089068,5426783
12089068,5426978
12089086,5426783
12089086,5426962
12089111,5312745
12089111,5313112
12089124,5426783
12089124,5426970
12089130,5312658
12089130,5313079
12089193,5312743
12089193,5313104
12089273,5340902
12089273,5340957
12089347,5312745
12089347,5313114
12089790,5340905
12089790,5340977
12089834,5340882
12089834,5341032
12089848,5340882
12089848,5341034
12090045,5312760
12090045,5313125
12090448,5312706
12090448,5313119
12090475,5312658
12090475,5313071
12090663,5283147
12090663,5330556
12090670,5283147
12090670,5330557
12090675,5330407
12090675,5330569
12091397,5330437
12091397,5330565
12091444,5283147
12091444,5330547
12092740,5413839
12092740,5413936
12092872,5330437
12092872,5330566
12093216,5340924
12093216,5340944
12093228,5340902
12093228,5340972
12093238,5340882
12093238,5341035
12094098,5413839
12094098,5413939
12094124,5413841
12094124,5413905
12094392,5413835
12094392,5413889
12094410,5413837
12094410,5413859
12094566,5340902
12094566,5340971
12094623,5340902
12094623,5340961
12094654,5340902
12094654,5340970
12094775,5340924
12094775,5340943
12094799,5312760
12094799,5313131
12095196,5312706
12095196,5313116
12095409,5413839
12095409,5413930
12095413,5413841
12095413,5413907
12095566,5413841
12095566,5413904
12095574,5312760
12095574,5313127
12095621,5413835
12095621,5413892
12095629,5312658
12095629,5313073
12095803,5413841
12095803,5413899
12096026,5413841
12096026,5413902
12096167,5340924
12096167,5340942
12096182,5340902
12096182,5340958
12096726,5312658
12096726,5313080
12096809,5470758
12096809,5470760
12096937,5413841
12096937,5413901
12097142,722120
12097142,2017593
12097444,5413835
12097444,5413886
12097547,5316016
12097547,5316091
12098211,5312760
12098211,5313132
12098888,5363355
12098888,5363754
12098956,5413835
12098956,5413883
12098961,5413841
12098961,5413900
12099208,5102390
12099208,5102425
12099239,5312760
12099239,5313134
12099259,1004468
12099259,2018223
12099336,5312656
12099336,5313058
12099794,5413841
12099794,5413911
12099823,5470757
12099823,5470758
12099985,5413839
12099985,5413937
12101024,5363495
12101029,5363244
12101029,5363496
12101242,5312760
12101242,5313122
12101361,5125349
12101361,5125531
12101445,428084
12101445,2018644
12101452,428084
12101452,2018666
12101696,5363350
12101696,5363731
12102352,5312658
12102352,5313077
